date,opponent,result,syracuse_score,opponent_score,attendance
2/07/25,UALBANY,W,21,9,2127
2/15/25,at Maryland,W,15,9,758
2/18/25,CORNELL,W,18,10,2214
2/22/25,at North Carolina,L,8,16,1088
2/25/25,NORTHWESTERN,L,8,12,2080
3/01/25,CLEMSON,L,8,9,2899
3/07/25,STANFORD,W,14,13,2165
3/10/25,JOHNS HOPKINS,L,13,14,2049
3/15/25,at Pitt,W,17,11,600
3/19/25,at Loyola,W,14,12,432
3/23/25,NOTRE DAME,W,12,11,3622
3/29/25,VIRGINIA,W,13,12,2736
4/02/25,at Yale Bulldogs,L,10,13,653
4/05/25,at California,W,18,6,250
4/12/25,at Virginia Tech,L,11,14,157
4/17/25,BOSTON COLLEGE,L,2,17,1645
4/22/25,vs Stanford,L,10,15,0
5/09/25,vs Brown Bears,W,15,9,583
5/11/25,at Yale Bulldogs,L,8,9,608
